id,Longitude,Latitude,Elevation
[unnamed],-1.61915135,6.70652299,0
[unnamed],-1.61918303,6.70661687,0
[unnamed],-1.62200966,6.70538071,0
[unnamed],-1.62197337,6.70521282,0
[unnamed],-1.61861625,6.70381388,0
[unnamed],-1.61833738,6.70394581,0
[unnamed],-1.61841935,6.70407631,0
[unnamed],-1.61869328,6.70393826,0
[unnamed],-1.61854676,6.70202484,0
[unnamed],-1.61850736,6.70189199,0
[unnamed],-1.61836755,6.70197623,0
[unnamed],-1.61835398,6.70226658,0
[unnamed],-1.62079789,6.70143308,0
[unnamed],-1.6154955,6.70137466,0
[unnamed],-1.61549985,6.70130216,0
[unnamed],-1.61418121,6.70373333,0
[unnamed],-1.61862924,6.71302056,0
[unnamed],-1.61806731,6.71547872,0
[unnamed],-1.61816186,6.71555784,0
[unnamed],-1.61815356,6.7156653,0
[unnamed],-1.61650225,6.7149551,0
[unnamed],-1.61660912,6.71488193,0
[unnamed],-1.61646151,6.71666224,0
[unnamed],-1.61462847,6.71538585,0
[unnamed],-1.61229922,6.7110255,0
[unnamed],-1.61244918,6.71087999,0
[unnamed],-1.61230551,6.71131895,0
[unnamed],-1.61004659,6.71100379,0
[unnamed],-1.60859702,6.70919682,0
[unnamed],-1.60855033,6.70924468,0
[unnamed],-1.60601674,6.7091368,0
[unnamed],-1.60602034,6.70903513,0
[unnamed],-1.6072912,6.71305937,0
[unnamed],-1.60725734,6.7132804,0
[unnamed],-1.60784265,6.71470297,0
[unnamed],-1.60101685,6.71834282,0
[unnamed],-1.60510764,6.72159516,0
[unnamed],-1.60509741,6.72168007,0
[unnamed],-1.60159227,6.722315,0
[unnamed],-1.60152722,6.72234174,0
[unnamed],-1.60114425,6.7222782,0
[unnamed],-1.59716033,6.71943079,0
[unnamed],-1.59708163,6.71924102,0
[unnamed],-1.59679019,6.72225138,0
[unnamed],-1.59688381,6.72236755,0
[unnamed],-1.59519704,6.72537389,0
[unnamed],-1.59531447,6.72535277,0
[unnamed],-1.59461609,6.72751505,0
[unnamed],-1.59480209,6.72726242,0
[unnamed],-1.59492639,6.72718405,0
[unnamed],-1.56903109,6.73214102,0
[unnamed],-1.5693408,6.73482231,0
NHYIAESO SUBMETRO,-1.62921919,6.67040897,0
[unnamed],-1.64161401,6.66706099,0
[unnamed],-1.64170881,6.66711992,0
[unnamed],-1.64238573,6.66060584,0
[unnamed],-1.6424574,6.660878,0
[unnamed],-1.64142583,6.65734393,0
